City,,,Population1991,Population2001,Population2011,,,,Total1991,Total2001,Total2011,Min1991,Min2001,Min2011,Max1991,Max2001,Max2011
slum,,,92702684.47,102370207.1,97406144.44,85,76,63,108700000,134100000,153900000,342488,508182,595979,5839642,8511228,12043977
slum1,,,100544719.7,101549219.5,92680100.13,92,76,60,,,,,,,,,
Dhaka,???? ????,District (Zila),5839642,8511228,12043977,,,,,,,,,,,,
Chittagong,????????? ????,District (Zila),5296127,6612140,7616352,,,,,,,,,,,,
Comilla,???????? ????,District (Zila),4032666,4595557,5387288,,,,,,,,,,,,
Mymensingh,????????? ????,District (Zila),3957182,4489726,5110272,,,,,,,,,,,,
Tangail,???????? ????,District (Zila),3002428,3290696,3605083,,,,,,,,,,,,
Bogra,?????? ????,District (Zila),2669287,3013056,3400874,,,,,,,,,,,,
Kishoreganj,????????? ????,District (Zila),2306087,2594954,2911907,,,,,,,,,,,,
Sirajganj,????????? ????,District (Zila),2263573,2693814,3097489,,,,,,,,,,,,
Dinajpur,???????? ????,District (Zila),2260131,2642850,2990128,,,,,,,,,,,,
Noakhali,????????? ????,District (Zila),2217134,2577244,3108083,,,,,,,,,,,,
Barisal,?????? ????,District (Zila),2207426,2355967,2324310,,,,,,,,,,,,
Rangpur,????? ????,District (Zila),2160346,2542441,2881086,,,,,,,,,,,,
Sylhet,????? ????,District (Zila),2153301,2555566,3434188,,,,,,,,,,,,
Naogaon,????? ????,District (Zila),2148053,2391355,2600157,,,,,,,,,,,,
Brahmanbaria,???????????????? ????,District (Zila),2141745,2398254,2840498,,,,,,,,,,,,
Jessore,???? ????,District (Zila),2106996,2471554,2764547,,,,,,,,,,,,
Chandpur,??????? ????,District (Zila),2032449,2271229,2416018,,,,,,,,,,,,
Khulna,????? ????,District (Zila),2010643,2378971,2318527,,,,,,,,,,,,
Gaibandha,????????? ????,District (Zila),1949274,2138181,2379255,,,,,,,,,,,,
Pabna,????? ????,District (Zila),1919896,2176270,2523179,,,,,,,,,,,,
Rajshahi,??????? ????,District (Zila),1887015,2286874,2595197,,,,,,,,,,,,
Jamalpur,???????? ????,District (Zila),1874440,2107209,2292674,,,,,,,,,,,,
Narayanganj,??????????? ????,District (Zila),1754804,2173948,2948217,,,,,,,,,,,,
Netrakona [Netrokona],????????? ????,District (Zila),1730935,1988188,2229642,,,,,,,,,,,,
Sunamganj,????????? ????,District (Zila),1708563,2013738,2467968,,,,,,,,,,,,
Narsingdi,??????? ????,District (Zila),1652123,1895984,2224944,,,,,,,,,,,,
Gazipur,??????? ????,District (Zila),1621562,2031891,3403912,,,,,,,,,,,,
Kurigram,?????????? ????,District (Zila),1603034,1792073,2069273,,,,,,,,,,,,
Satkhira,????????? ????,District (Zila),1597178,1864704,1985959,,,,,,,,,,,,
Habiganj,??????? ????,District (Zila),1526609,1757665,2089001,,,,,,,,,,,,
Faridpur,??????? ????,District (Zila),1505686,1756470,1912969,,,,,,,,,,,,
Kushtia,????????? ????,District (Zila),1502126,1740155,1946838,,,,,,,,,,,,
Bhola,???? ????,District (Zila),1476328,1703117,1776795,,,,,,,,,,,,
Bagerhat,???????? ????,District (Zila),1431332,1549031,1476090,,,,,,,,,,,,
Cox's Bazar,????????? ????,District (Zila),1419260,1773709,2289990,,,,,,,,,,,,
Natore,????? ????,District (Zila),1387761,1521336,1706673,,,,,,,,,,,,
Maulvi Bazar [Moulvibazar],?????????? ????,District (Zila),1376566,1612374,1919062,,,,,,,,,,,,
Jhenaidah [Jhenida],??????? ????,District (Zila),1361280,1579490,1771304,,,,,,,,,,,,
Nilphamari,????????? ????,District (Zila),1348762,1571690,1834231,,,,,,,,,,,,
Lakshmipur,?????????? ????,District (Zila),1312337,1489901,1729188,,,,,,,,,,,,
Patuakhali,?????????? ????,District (Zila),1273872,1460781,1535854,,,,,,,,,,,,
Munshiganj,?????????? ????,District (Zila),1188387,1293972,1445660,,,,,,,,,,,,
Manikganj,????????? ????,District (Zila),1175909,1285080,1392867,,,,,,,,,,,,
Chapai Nawabganj,?????????????? ????,District (Zila),1171469,1425322,1647521,,,,,,,,,,,,
Sherpur,?????? ????,District (Zila),1138629,1279542,1358325,,,,,,,,,,,,
Feni,???? ????,District (Zila),1096745,1240384,1437371,,,,,,,,,,,,
Madaripur,????????? ????,District (Zila),1069176,1146349,1165952,,,,,,,,,,,,
Pirojpur,???????? ????,District (Zila),1063185,1111068,1113257,,,,,,,,,,,,
Gopalganj,????????? ????,District (Zila),1060791,1165273,1172415,,,,,,,,,,,,
Thakurgaon,????????? ????,District (Zila),1010948,1214376,1390042,,,,,,,,,,,,
Lalmonirhat,?????????? ????,District (Zila),953460,1109343,1256099,,,,,,,,,,,,
Shariatpur,????????? ????,District (Zila),953021,1082300,1155824,,,,,,,,,,,,
Rajbari,???????? ????,District (Zila),835173,951906,1049778,,,,,,,,,,,,
Chuadanga,??????????? ????,District (Zila),807164,1007130,1129015,,,,,,,,,,,,
Barguna,?????? ????,District (Zila),775693,848554,892781,,,,,,,,,,,,
Jaipurhat [Joypurhat],????????? ????,District (Zila),765011,846696,913768,,,,,,,,,,,,
Magura,?????? ????,District (Zila),724027,824311,918419,,,,,,,,,,,,
Panchagarh,??????? ????,District (Zila),712024,836196,987644,,,,,,,,,,,,
Jhalakati [Jhalokati],??????? ????,District (Zila),666139,694231,682669,,,,,,,,,,,,
Narail,?????? ????,District (Zila),655720,698447,721668,,,,,,,,,,,,
Meherpur,???????? ????,District (Zila),491917,591430,655392,,,,,,,,,,,,
Rangamati,?????????? ????,District (Zila),401388,508182,595979,,,,,,,,,,,,
Khagrachhari,?????????? ????,District (Zila),342488,525664,613917,,,,,,,,,,,,
